softwareComponent,applicationComponent,objectType,objectName,classification,comment,successorObjectType,successorObjectName
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_EPM_CONSTANTS,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_EPM_PRODUCT_UTIL,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_EPM_SO_UTIL,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-GW-COR,INTF,/IWBEP/IF_GATEWAY_EXCEPTION_FW,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_IFL_BUILDER,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_IFL_BUILDER_ATTRIBUT,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_IFL_BUILDER_NODE,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-BEP,INTF,/IWBEP/IF_JSRPC_TRANSPORT,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-BEP,INTF,/IWBEP/IF_JSRPC_TYPES,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-BEP,INTF,/IWBEP/IF_LOGGER,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MESSAGE_CONTAINER,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_APPL_SRV_RUNTIME,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_APPL_TYPES,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_BADI_SRV_RUNTIME,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_BOP,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_BOP_DO,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_BOP_EXT,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_CONTEXT,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_CONV_SRV_RUNTIME,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_CORE_SRV_RUNTIME,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_CORE_TYPES,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_DP_FACADE,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_DP_FW_FACADE,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_DP_INT_FACADE,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_EDP_MAP,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_EDP_MAP_ACTION,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_EDP_MAP_DELETE,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_EDP_MAP_READ,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_ENTRY_PROVIDER,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_EXPR_BINARY,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_EXPR_FUNCTION,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_EXPR_LITERAL,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_EXPR_NODE,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_EXPR_VISITABLE,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_EXPR_VISITOR,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_MED_DBA_ACCESS,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_MED_DBA_M_S_ASGN,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_MED_DBA_MODEL,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_MED_DBA_SERVICE,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_MED_LOAD,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_MED_ODATA_TYPES,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_MED_PROVIDER,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_MED_TEXT_LOAD,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_METADATA,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_NOTIF_PUBLISHER,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_ODATA_ACTION,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_ODATA_ANNOTATABL,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_ODATA_ANNOTATION,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_ODATA_ASSOC,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_ODATA_ASSOC_SET,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_ODATA_CMPLX_PROP,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_ODATA_CMPLX_TYPE,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_ODATA_DOCUMENTTN,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_ODATA_ENTITY_SET,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_ODATA_ENTITY_TYP,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_ODATA_EXPAND,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_ODATA_FW_ANNO,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_ODATA_FW_ASSOC,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_ODATA_FW_CPLXTYP,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_ODATA_FW_ETYPE,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_ODATA_FW_ITEM,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_ODATA_FW_MODEL,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_ODATA_FW_NAVPROP,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_ODATA_FW_PROP,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_ODATA_ITEM,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_ODATA_MODEL,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_ODATA_NAV_PROP,TI3,,,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_MGW_ODATA_PARAMETER,TI3,,,
